timestamp_utc,games_played,wins_white,wins_black,draws,avg_game_length,train_loss,winrate_vs_baseline_pct
2026-08-01T11:30:07+00:00,16,0,0,16,60.00,0.5000,50.0
2026-08-01T11:52:13+00:00,16,3,1,12,106.62,0.6913,50.0
2026-08-01T12:16:09+00:00,16,5,2,9,100.25,0.6149,50.0
2026-08-01T15:55:13+00:00,16,1,1,14,56.56,0.5097,50.0
2026-08-01T20:49:05+00:00,16,2,1,13,54.88,0.0995,50.0
2026-08-02T08:08:29+00:00,16,0,0,16,60.00,0.0001,50.0
2026-08-02T15:59:00+00:00,16,2,4,10,48.81,0.1551,50.0
2026-08-02T20:51:17+00:00,16,1,1,14,55.94,0.0644,35.0
2026-08-03T12:53:00+00:00,16,1,1,14,55.94,0.0536,50.0
2026-08-03T22:02:52+00:00,16,0,1,15,59.25,0.0298,50.0
2026-08-04T10:26:14+00:00,16,0,0,16,58.00,0.0000,50.0
2026-08-04T18:25:25+00:00,16,0,0,16,60.00,0.0000,25.0
2026-08-05T10:16:30+00:00,16,0,1,15,49.88,0.0203,50.0
2026-08-05T17:26:19+00:00,16,0,0,16,59.56,0.0001,50.0
2026-08-05T22:30:12+00:00,16,2,2,12,52.69,0.1275,50.0
2026-08-06T10:27:01+00:00,16,1,0,15,59.56,0.0296,50.0
2026-08-07T06:06:27+00:00,16,0,0,16,60.00,0.0001,50.0
2026-08-07T09:48:46+00:00,16,1,0,15,58.81,0.0142,50.0
2026-08-07T15:21:35+00:00,16,0,0,16,58.62,0.0002,75.0
2026-08-07T20:17:33+00:00,16,0,0,16,60.00,0.0000,50.0
2026-08-08T04:12:45+00:00,16,2,0,14,55.25,0.0226,50.0
2026-08-08T08:19:55+00:00,16,0,1,15,60.00,0.0329,50.0
2026-08-08T14:18:44+00:00,16,2,1,13,58.38,0.1617,50.0
2026-08-08T19:31:47+00:00,16,0,1,15,58.06,0.0461,50.0
2026-08-09T04:54:52+00:00,16,0,0,16,58.31,0.0000,35.0
